cap_k,wy_type,n_cuttings,et_bin_idx,et_bin_label,et_bin_center,mean_saved_mm,mean_saved_acft,mean_n_late,count,is_model,cell_type
0,Dry,4,4,700–900,800,,,,10,True,infeasible
0,Dry,4,5,900–1100,1000,,,,0,True,infeasible
0,Dry,4,6,1100–1400,1250,,,,0,True,infeasible
0,Dry,4,7,1400–1700,1550,,,,0,True,infeasible
0,Dry,4,8,1700–2100,1900,,,,0,True,infeasible
0,Dry,4,9,2100–2500,2300,,,,0,True,infeasible
0,Dry,5,0,0–150,75,,,,0,True,infeasible
0,Dry,5,1,150–300,225,,,,0,True,infeasible
0,Dry,5,2,300–500,400,40.32567755512881,0.13230209171630186,2.0,1,True,sparse
0,Dry,5,3,500–700,600,191.1287142857143,0.6270627109111361,1.0,14,False,observed
0,Dry,5,4,700–900,800,419.0546470588235,1.374851204261232,2.0,34,False,observed
0,Dry,5,5,900–1100,1000,449.89890909090917,1.476046289668337,2.0,11,False,observed
0,Dry,5,6,1100–1400,1250,,,,1,True,infeasible
0,Dry,5,7,1400–1700,1550,,,,0,True,infeasible
0,Dry,5,8,1700–2100,1900,,,,0,True,infeasible
0,Dry,5,9,2100–2500,2300,,,,0,True,infeasible
0,Dry,6,0,0–150,75,,,,0,True,infeasible
0,Dry,6,1,150–300,225,,,,0,True,infeasible
0,Dry,6,2,300–500,400,,,,0,True,infeasible
0,Dry,6,3,500–700,600,228.42988235294118,0.7494418712366836,2.0,17,False,observed
0,Dry,6,4,700–900,800,365.4185166666666,1.1988796478565178,2.0,120,False,observed
0,Dry,6,5,900–1100,1000,454.55725352112677,1.4913295719197073,2.0,71,False,observed
0,Dry,6,6,1100–1400,1250,354.7196,1.163778215223097,2.0,5,False,observed
0,Dry,6,7,1400–1700,1550,,,,0,True,infeasible
0,Dry,6,8,1700–2100,1900,,,,0,True,infeasible
0,Dry,6,9,2100–2500,2300,,,,0,True,infeasible
0,Dry,7,0,0–150,75,,,,0,True,infeasible
0,Dry,7,1,150–300,225,,,,0,True,infeasible
0,Dry,7,2,300–500,400,,,,1,True,infeasible
0,Dry,7,3,500–700,600,250.94446153846152,0.8233086008479709,2.0,13,False,observed
0,Dry,7,4,700–900,800,363.5093421052632,1.1926159517889212,2.0,152,False,observed
0,Dry,7,5,900–1100,1000,429.0581777003485,1.4076711866809333,2.0,287,False,observed
0,Dry,7,6,1100–1400,1250,464.080695652174,1.5225744608010956,2.0,69,False,observed
0,Dry,7,7,1400–1700,1550,,,,0,True,infeasible
0,Dry,7,8,1700–2100,1900,,,,0,True,infeasible
0,Dry,7,9,2100–2500,2300,,,,0,True,infeasible
0,Dry,8,0,0–150,75,,,,0,True,infeasible
0,Dry,8,1,150–300,225,,,,0,True,infeasible
0,Dry,8,2,300–500,400,,,,1,True,infeasible
0,Dry,8,3,500–700,600,201.4875,0.6610482283464567,2.0,8,False,observed
0,Dry,8,4,700–900,800,348.2344494382022,1.1425014745347841,3.0,89,False,observed
0,Dry,8,5,900–1100,1000,409.46550837988826,1.3433907755245678,3.0,358,False,observed
0,Dry,8,6,1100–1400,1250,446.53416494845357,1.465007102849257,3.0,194,False,observed
0,Dry,8,7,1400–1700,1550,,,,1,True,infeasible
0,Dry,8,8,1700–2100,1900,,,,0,True,infeasible
0,Dry,8,9,2100–2500,2300,,,,0,True,infeasible
0,Dry,9,0,0–150,75,,,,0,True,infeasible
0,Dry,9,1,150–300,225,,,,0,True,infeasible
0,Dry,9,2,300–500,400,,,,0,True,infeasible
0,Dry,9,3,500–700,600,,,,0,True,infeasible
0,Dry,9,4,700–900,800,304.621125,0.9994131397637795,3.0,16,False,observed
0,Dry,9,5,900–1100,1000,402.59524031007754,1.3208505259516978,3.0,129,False,observed
0,Dry,9,6,1100–1400,1250,461.7393309859155,1.5148928181952608,3.0,142,False,observed
0,Dry,9,7,1400–1700,1550,801.0246937854804,2.6280337722620746,3.0,3,True,sparse
0,Dry,9,8,1700–2100,1900,,,,0,True,infeasible
0,Dry,9,9,2100–2500,2300,,,,0,True,infeasible
0,Dry,10,0,0–150,75,,,,0,True,infeasible
0,Dry,10,1,150–300,225,,,,0,True,infeasible
0,Dry,10,2,300–500,400,,,,0,True,infeasible
0,Dry,10,3,500–700,600,,,,0,True,infeasible
0,Dry,10,4,700–900,800,216.11567612777532,0.7090409321777406,3.0,1,True,sparse
0,Dry,10,5,900–1100,1000,390.4182222222223,1.2808996792067662,3.0,18,False,observed
0,Dry,10,6,1100–1400,1250,480.1162666666668,1.5751846019247597,3.0,15,False,observed
0,Dry,10,7,1400–1700,1550,771.5468013931483,2.5313215268804075,3.0,1,True,sparse
0,Dry,10,8,1700–2100,1900,,,,0,True,infeasible
0,Dry,10,9,2100–2500,2300,,,,0,True,infeasible
0,Dry,11,0,0–150,75,,,,0,True,infeasible
0,Dry,11,1,150–300,225,,,,0,True,infeasible
0,Dry,11,2,300–500,400,,,,0,True,infeasible
0,Dry,11,3,500–700,600,,,,0,True,infeasible
0,Dry,11,4,700–900,800,212.89634737286633,0.6984788299634722,3.0,0,True,extrapolated
0,Dry,11,5,900–1100,1000,376.8616226769921,1.2364226465780581,3.0,1,True,sparse
0,Dry,11,6,1100–1400,1250,632.6775318634247,2.0757136872159605,3.0,1,True,sparse
0,Dry,11,7,1400–1700,1550,784.5201395106467,2.5738849721477908,3.0,1,True,sparse
0,Dry,11,8,1700–2100,1900,,,,0,True,infeasible
0,Dry,11,9,2100–2500,2300,,,,0,True,infeasible
0,Dry,12,0,0–150,75,,,,0,True,infeasible
0,Dry,12,1,150–300,225,,,,0,True,infeasible
0,Dry,12,2,300–500,400,,,,0,True,infeasible
0,Dry,12,3,500–700,600,,,,0,True,infeasible
0,Dry,12,4,700–900,800,209.99903015258514,0.6889731960386651,3.0,0,True,extrapolated
0,Dry,12,5,900–1100,1000,371.74332589580865,1.2196303343038342,3.0,0,True,extrapolated
0,Dry,12,6,1100–1400,1250,657.475002939094,2.15707021961645,3.0,0,True,extrapolated
0,Dry,12,7,1400–1700,1550,930.0,3.0511811023622046,3.0,0,True,extrapolated
0,Dry,12,8,1700–2100,1900,,,,0,True,infeasible
0,Dry,12,9,2100–2500,2300,,,,0,True,infeasible
0,Dry,13,0,0–150,75,,,,0,True,infeasible
0,Dry,13,1,150–300,225,,,,0,True,infeasible
0,Dry,13,2,300–500,400,,,,0,True,infeasible
0,Dry,13,3,500–700,600,,,,0,True,infeasible
0,Dry,13,4,700–900,800,,,,0,True,infeasible
0,Dry,13,5,900–1100,1000,,,,0,True,infeasible
0,Dry,13,6,1100–1400,1250,649.2655472133363,2.13013630975504,4.0,0,True,extrapolated
0,Dry,13,7,1400–1700,1550,930.0,3.0511811023622046,4.0,0,True,extrapolated
0,Dry,13,8,1700–2100,1900,1140.0,3.7401574803149606,4.0,0,True,extrapolated
0,Dry,13,9,2100–2500,2300,1380.0,4.52755905511811,4.0,0,True,extrapolated
0,Dry,14,0,0–150,75,,,,0,True,infeasible
