UniqueID,county,WY,n_cuttings,n_cp_season,cutoff_date,n_late_cuts,late_et_mm,total_et_mm,late_cycle_et_mm_list,late_cut_dates,area_acres,late_et_acft,saved_mm_cap0,saved_mm_cap1,saved_mm_cap2,saved_mm_cap3
3909555,San Joaquin,2021,8.0,8,2021-07-01,3,560.1590000000001,1052.5080000000003,"[225.55400000000003, 205.338, 129.267]","[Timestamp('2021-07-11 00:00:00'), Timestamp('2021-08-17 00:00:00'), Timestamp('2021-09-10 00:00:00')]",37.39157222398657,68.71793210438352,560.1590000000001,334.605,129.267,0.0
3909556,San Joaquin,2021,8.0,8,2021-07-01,2,266.32,849.078,"[178.595, 87.725]","[Timestamp('2021-07-09 00:00:00'), Timestamp('2021-07-29 00:00:00')]",41.89336573303341,36.60446575466358,266.32,87.725,0.0,0.0
3909706,San Joaquin,2021,10.0,10,2021-07-01,3,368.424,973.854,"[150.01, 135.097, 83.31700000000001]","[Timestamp('2021-07-25 00:00:00'), Timestamp('2021-08-21 00:00:00'), Timestamp('2021-09-10 00:00:00')]",31.051320495683797,37.532978025924564,368.424,218.41400000000002,83.31700000000001,0.0
3909740,San Joaquin,2021,8.0,9,2021-07-01,2,419.407,1089.7130000000002,"[252.35399999999998, 167.053]","[Timestamp('2021-07-23 00:00:00'), Timestamp('2021-08-19 00:00:00')]",57.65896083189769,79.33914627829301,419.407,167.053,0.0,0.0
3909829,San Joaquin,2021,8.0,8,2021-07-01,3,530.6379999999999,1032.558,"[214.90099999999998, 193.249, 122.488]","[Timestamp('2021-07-10 00:00:00'), Timestamp('2021-08-16 00:00:00'), Timestamp('2021-09-10 00:00:00')]",52.776219357297265,91.88014267492619,530.6379999999999,315.73699999999997,122.488,0.0
3909842,San Joaquin,2021,10.0,11,2021-07-01,3,364.93,1116.54,"[141.476, 127.206, 96.24799999999999]","[Timestamp('2021-07-22 00:00:00'), Timestamp('2021-08-17 00:00:00'), Timestamp('2021-09-06 00:00:00')]",4.428323854569113,5.301929869579745,364.93,223.454,96.24799999999999,0.0
3909974,San Joaquin,2021,10.0,0,2021-07-01,4,543.6190000000001,964.1910000000001,"[140.983, 133.15400000000002, 161.085, 108.397]","[Timestamp('2021-07-01 00:00:00'), Timestamp('2021-07-23 00:00:00'), Timestamp('2021-08-23 00:00:00'), Timestamp('2021-09-25 00:00:00')]",21.474670723645257,38.30065296626415,543.6190000000001,402.636,269.482,108.397
3909993,San Joaquin,2021,9.0,11,2021-07-01,2,375.28900000000004,810.1819999999999,"[324.16700000000003, 51.122]","[Timestamp('2021-08-20 00:00:00'), Timestamp('2021-09-09 00:00:00')]",19.01481444788005,23.41223982719966,375.28900000000004,51.122,0.0,0.0
3910008,San Joaquin,2021,9.0,10,2021-07-01,3,569.897,1137.876,"[180.001, 238.153, 151.74300000000002]","[Timestamp('2021-07-04 00:00:00'), Timestamp('2021-08-13 00:00:00'), Timestamp('2021-09-10 00:00:00')]",25.587666142825114,47.842303713246736,569.897,389.896,151.74300000000002,0.0
3910021,San Joaquin,2021,9.0,11,2021-07-01,2,200.484,1010.357,"[105.63200000000002, 94.85199999999999]","[Timestamp('2021-07-25 00:00:00'), Timestamp('2021-08-14 00:00:00')]",27.75229435459404,18.254235503236323,200.484,94.85199999999999,0.0,0.0
3910040,San Joaquin,2021,5.0,0,2021-07-01,2,510.21200000000005,769.3880000000001,"[306.76200000000006, 203.45]","[Timestamp('2021-07-28 00:00:00'), Timestamp('2021-09-13 00:00:00')]",17.248372701708323,28.87246303439635,510.21200000000005,203.45,0.0,0.0
3910288,San Joaquin,2021,9.0,0,2021-07-01,3,383.66499999999996,1019.17,"[131.931, 124.281, 127.45299999999999]","[Timestamp('2021-07-13 00:00:00'), Timestamp('2021-08-15 00:00:00'), Timestamp('2021-09-16 00:00:00')]",40.09562782769794,50.47010843344399,383.66499999999996,251.73399999999998,127.45299999999999,0.0
3910342,San Joaquin,2021,8.0,8,2021-07-01,3,440.15400000000005,944.7,"[142.523, 163.639, 133.99200000000002]","[Timestamp('2021-07-10 00:00:00'), Timestamp('2021-08-13 00:00:00'), Timestamp('2021-09-10 00:00:00')]",30.997044430566795,44.76205083429035,440.15400000000005,297.63100000000003,133.99200000000002,0.0
3910368,San Joaquin,2021,7.0,7,2021-07-01,3,405.006,954.4380000000001,"[168.581, 171.59900000000002, 64.826]","[Timestamp('2021-07-16 00:00:00'), Timestamp('2021-08-21 00:00:00'), Timestamp('2021-09-10 00:00:00')]",50.256335034759886,66.77859982640408,405.006,236.425,64.826,0.0
