cap_k,wy_type,n_cuttings,et_bin_idx,et_bin_label,et_bin_center,mean_saved_mm,mean_saved_acft,count,is_model
0,Above Normal,11,0,0–150,75,30.898849462577594,0.10137417802682937,0,True
0,Above Normal,11,1,150–300,225,92.69654838773278,0.3041225340804881,0,True
0,Above Normal,11,2,300–500,400,164.79386380041382,0.5406622828097566,0,True
0,Above Normal,11,3,500–700,600,247.19079570062075,0.8109934242146349,0,True
0,Above Normal,11,4,700–900,800,329.58772760082763,1.0813245656195132,0,True
0,Above Normal,11,5,900–1100,1000,411.98465950103457,1.3516557070243915,4,True
0,Above Normal,11,6,1100–1400,1250,514.9808243762932,1.6895696337804893,1,True
0,Above Normal,11,7,1400–1700,1550,638.5762222266036,2.095066345887807,0,True
0,Above Normal,11,8,1700–2100,1900,782.7708530519657,2.5681458433463438,0,True
0,Above Normal,11,9,2100–2500,2300,947.5647168523795,3.108808126156101,0,True
0,Above Normal,12,0,0–150,75,30.898849462577594,0.10137417802682937,0,True
0,Above Normal,12,1,150–300,225,92.69654838773278,0.3041225340804881,0,True
0,Above Normal,12,2,300–500,400,164.79386380041382,0.5406622828097566,0,True
0,Above Normal,12,3,500–700,600,247.19079570062075,0.8109934242146349,0,True
0,Above Normal,12,4,700–900,800,329.58772760082763,1.0813245656195132,0,True
0,Above Normal,12,5,900–1100,1000,411.98465950103457,1.3516557070243915,0,True
0,Above Normal,12,6,1100–1400,1250,514.9808243762932,1.6895696337804893,0,True
0,Above Normal,12,7,1400–1700,1550,638.5762222266036,2.095066345887807,0,True
0,Above Normal,12,8,1700–2100,1900,782.7708530519657,2.5681458433463438,0,True
0,Above Normal,12,9,2100–2500,2300,947.5647168523795,3.108808126156101,0,True
0,Above Normal,13,0,0–150,75,30.898849462577594,0.10137417802682937,0,True
0,Above Normal,13,1,150–300,225,92.69654838773278,0.3041225340804881,0,True
0,Above Normal,13,2,300–500,400,164.79386380041382,0.5406622828097566,0,True
0,Above Normal,13,3,500–700,600,247.19079570062075,0.8109934242146349,0,True
0,Above Normal,13,4,700–900,800,329.58772760082763,1.0813245656195132,0,True
0,Above Normal,13,5,900–1100,1000,411.98465950103457,1.3516557070243915,0,True
0,Above Normal,13,6,1100–1400,1250,514.9808243762932,1.6895696337804893,0,True
0,Above Normal,13,7,1400–1700,1550,638.5762222266036,2.095066345887807,0,True
0,Above Normal,13,8,1700–2100,1900,782.7708530519657,2.5681458433463438,0,True
0,Above Normal,13,9,2100–2500,2300,947.5647168523795,3.108808126156101,0,True
0,Above Normal,14,0,0–150,75,30.898849462577594,0.10137417802682937,0,True
0,Above Normal,14,1,150–300,225,92.69654838773278,0.3041225340804881,0,True
0,Above Normal,14,2,300–500,400,164.79386380041382,0.5406622828097566,0,True
0,Above Normal,14,3,500–700,600,247.19079570062075,0.8109934242146349,0,True
0,Above Normal,14,4,700–900,800,329.58772760082763,1.0813245656195132,0,True
0,Above Normal,14,5,900–1100,1000,411.98465950103457,1.3516557070243915,0,True
0,Above Normal,14,6,1100–1400,1250,514.9808243762932,1.6895696337804893,0,True
0,Above Normal,14,7,1400–1700,1550,638.5762222266036,2.095066345887807,0,True
0,Above Normal,14,8,1700–2100,1900,782.7708530519657,2.5681458433463438,0,True
0,Above Normal,14,9,2100–2500,2300,947.5647168523795,3.108808126156101,0,True
0,Wet,1,0,0–150,75,32.22826218602845,0.105735768326865,1,True
0,Wet,1,1,150–300,225,96.68478655808535,0.31720730498059496,0,True
0,Wet,1,2,300–500,400,171.88406499215174,0.56392409774328,0,True
0,Wet,1,3,500–700,600,257.8260974882276,0.84588614661492,0,True
0,Wet,1,4,700–900,800,343.76812998430347,1.12784819548656,0,True
0,Wet,1,5,900–1100,1000,429.7101624803794,1.4098102443582001,0,True
0,Wet,1,6,1100–1400,1250,537.1377031004741,1.7622628054477498,0,True
0,Wet,1,7,1400–1700,1550,666.050751844588,2.18520587875521,0,True
0,Wet,1,8,1700–2100,1900,816.4493087127207,2.6786394642805798,0,True
0,Wet,1,9,2100–2500,2300,988.3333737048725,3.24256356202386,0,True
0,Wet,2,0,0–150,75,11.49025,0.03769767060367454,8,False
0,Wet,2,1,150–300,225,0.0,0.0,10,False
0,Wet,2,2,300–500,400,171.88406499215174,0.56392409774328,3,True
0,Wet,2,3,500–700,600,257.8260974882276,0.84588614661492,0,True
0,Wet,2,4,700–900,800,343.76812998430347,1.12784819548656,0,True
