UniqueID,county,WY,n_cuttings,n_cp_season,cutoff_date,n_late_cuts,late_et_mm,total_et_mm,late_cycle_et_mm_list,late_cut_dates,area_acres,late_et_acft
3903027,San Joaquin,2019,8.0,0,2019-07-01,4,373.093,826.518,"[125.00899999999999, 103.44099999999999, 72.85000000000001, 71.793]","[Timestamp('2019-07-03 00:00:00'), Timestamp('2019-07-31 00:00:00'), Timestamp('2019-08-23 00:00:00'), Timestamp('2019-09-20 00:00:00')]",3.921994624976833,4.800750461340162
3903036,San Joaquin,2019,6.0,0,2019-07-01,3,518.02,864.025,"[175.863, 206.811, 135.346]","[Timestamp('2019-07-06 00:00:00'), Timestamp('2019-08-12 00:00:00'), Timestamp('2019-09-08 00:00:00')]",31.127763759927056,52.90290086258994
3903046,San Joaquin,2019,2.0,0,2019-07-01,0,0.0,140.36,[],[],31.22033668912084,0.0
3903053,San Joaquin,2019,6.0,0,2019-07-01,2,364.09000000000003,985.203,"[187.67400000000004, 176.41599999999997]","[Timestamp('2019-07-28 00:00:00'), Timestamp('2019-09-02 00:00:00')]",38.844581603015165,46.400668359060994
3903055,San Joaquin,2019,6.0,0,2019-07-01,2,373.11899999999997,899.473,"[191.928, 181.19099999999997]","[Timestamp('2019-07-27 00:00:00'), Timestamp('2019-09-02 00:00:00')]",40.0348151000017,49.00836671685542
3903124,San Joaquin,2019,5.0,0,2019-07-01,3,529.858,688.314,"[238.269, 116.131, 175.458]","[Timestamp('2019-07-04 00:00:00'), Timestamp('2019-07-28 00:00:00'), Timestamp('2019-08-28 00:00:00')]",30.010526196906692,52.16967647519876
3903143,San Joaquin,2019,7.0,0,2019-07-01,3,298.181,548.249,"[104.554, 108.407, 85.21999999999998]","[Timestamp('2019-07-11 00:00:00'), Timestamp('2019-08-09 00:00:00'), Timestamp('2019-09-08 00:00:00')]",7.7075737302384475,7.5401969896857945
3903197,San Joaquin,2019,5.0,0,2019-07-01,3,577.246,732.3179999999999,"[197.349, 204.986, 174.91099999999997]","[Timestamp('2019-07-08 00:00:00'), Timestamp('2019-08-17 00:00:00'), Timestamp('2019-09-24 00:00:00')]",15.19124775161228,28.76997047121779
3903216,San Joaquin,2019,7.0,0,2019-07-01,3,444.688,892.325,"[147.12499999999997, 176.697, 120.86600000000001]","[Timestamp('2019-07-09 00:00:00'), Timestamp('2019-08-13 00:00:00'), Timestamp('2019-09-08 00:00:00')]",28.7112088693803,41.888221947857566
3903231,San Joaquin,2019,5.0,0,2019-07-01,3,558.105,793.818,"[175.64899999999997, 247.231, 135.225]","[Timestamp('2019-07-05 00:00:00'), Timestamp('2019-08-20 00:00:00'), Timestamp('2019-09-19 00:00:00')]",20.27242763909246,37.11989247872604
3903280,San Joaquin,2019,6.0,0,2019-07-01,2,294.07399999999996,797.789,"[226.46699999999998, 67.607]","[Timestamp('2019-08-03 00:00:00'), Timestamp('2019-08-23 00:00:00')]",44.55408214400502,42.98621112997418
3903299,San Joaquin,2019,6.0,0,2019-07-01,3,418.731,740.914,"[114.237, 151.394, 153.1]","[Timestamp('2019-07-03 00:00:00'), Timestamp('2019-08-04 00:00:00'), Timestamp('2019-09-02 00:00:00')]",49.12103486176742,67.48195554036329
3903326,San Joaquin,2019,7.0,0,2019-07-01,3,511.70799999999997,852.427,"[282.79999999999995, 113.128, 115.78000000000002]","[Timestamp('2019-07-04 00:00:00'), Timestamp('2019-08-05 00:00:00'), Timestamp('2019-09-02 00:00:00')]",38.49012455158981,64.6184535893862
3903364,San Joaquin,2019,8.0,0,2019-07-01,3,529.2349999999999,935.2909999999999,"[198.09099999999998, 194.393, 136.75099999999998]","[Timestamp('2019-07-06 00:00:00'), Timestamp('2019-08-09 00:00:00'), Timestamp('2019-09-02 00:00:00')]",30.587278341323177,53.109771171161974
3903463,San Joaquin,2019,6.0,0,2019-07-01,2,416.925,1042.779,"[219.415, 197.51000000000002]","[Timestamp('2019-07-25 00:00:00'), Timestamp('2019-08-28 00:00:00')]",48.978294181787696,66.99565387710577
3903478,San Joaquin,2019,5.0,0,2019-07-01,2,363.85299999999995,693.3659999999999,"[227.57099999999997, 136.282]","[Timestamp('2019-07-26 00:00:00'), Timestamp('2019-08-23 00:00:00')]",22.256814431384246,26.568926185375492
3903560,San Joaquin,2019,8.0,0,2019-07-01,3,450.86299999999994,881.869,"[123.82300000000001, 172.529, 154.51099999999997]","[Timestamp('2019-07-06 00:00:00'), Timestamp('2019-08-07 00:00:00'), Timestamp('2019-09-08 00:00:00')]",15.399907078440176,22.77968604037655
3903614,San Joaquin,2019,7.0,0,2019-07-01,3,485.64400000000006,1019.2580000000002,"[179.02500000000003, 142.582, 164.03700000000003]","[Timestamp('2019-07-17 00:00:00'), Timestamp('2019-08-15 00:00:00'), Timestamp('2019-09-19 00:00:00')]",48.27501037232893,76.91754966292424
3903717,San Joaquin,2019,8.0,0,2019-07-01,3,484.99499999999995,977.283,"[173.73, 184.613, 126.652]","[Timestamp('2019-07-09 00:00:00'), Timestamp('2019-08-13 00:00:00'), Timestamp('2019-09-08 00:00:00')]",7.652338857338082,12.176332296964182
3903767,San Joaquin,2019,8.0,0,2019-07-01,3,537.489,1124.376,"[129.243, 243.65, 164.59600000000003]","[Timestamp('2019-07-05 00:00:00'), Timestamp('2019-08-19 00:00:00'), Timestamp('2019-09-26 00:00:00')]",29.928044882541474,52.77557387097223
