county,WY,n_parcels,n_years,late_cuts_removed,cut_cap_k,area_acres,area_acres_unique,baseline_late_et_total_acft,water_saved_total_acft,scenario_late_et_total_acft,baseline_late_et_total_mm_area_weighted,water_saved_total_mm_area_weighted,scenario_late_et_total_mm_area_weighted,mean_saved_mm_per_cut,mean_saved_acft_per_acre_per_cut,water_saved_acft_per_acre,water_saved_mm_per_acre,water_saved_acft_per_parcel,water_saved_acft_per_cut_removed,water_saved_acft_per_acre_per_cut_removed,water_saved_pct_of_baseline_late_et,water_saved
Fresno,2024,129.0,1.0,161.0,1,5918.424682018676,5918.424682018676,6442.3336597988,3393.8232388724405,3048.5104209263595,331.78141228569547,174.78254413731773,156.99886814837774,154.07902805280528,0.5055086222204898,0.573433543757604,174.7825441373177,26.308707278080934,21.079647446412675,0.5055086222204898,0.5268002897848095,0.573433543757604
Imperial,2019,167.0,1.0,298.0,1,8626.940327464219,8626.940327464219,12756.322400388175,7115.2144521900045,5641.107948198171,450.69595013429074,251.38893775853683,199.3070123757539,142.95229878048784,0.4690036049228603,0.8247668561631784,251.38893775853677,42.606074564012005,23.87655856439599,0.4690036049228603,0.557779446839121,0.8247668561631784
Imperial,2020,167.0,1.0,236.0,1,8626.940327464219,8626.940327464219,10701.40927025487,5409.452680896308,5291.956589358561,378.09344005656834,191.12235793357334,186.971082122995,132.77788657407407,0.4356229874477496,0.6270418567374453,191.12235793357334,32.39193222093598,22.921409664814867,0.4356229874477496,0.5054897485261279,0.6270418567374453
Imperial,2021,167.0,1.0,248.0,1,8626.940327464219,8626.940327464219,11427.262095497672,5470.671146138731,5956.590949358941,403.7386784303263,193.2852786792388,210.4533997510875,141.6323397027601,0.46467303052086634,0.6341380534095762,193.28527867923881,32.75850985711815,22.059157847333594,0.46467303052086634,0.47873857275875115,0.6341380534095762
Imperial,2022,167.0,1.0,271.0,1,8626.940327464219,8626.940327464219,11417.1070277697,5572.739031516308,5844.3679962533915,403.3798878828095,196.89145772791548,206.48843015489402,126.54948513800424,0.4151885995341347,0.6459693495010351,196.8914577279155,33.36969479949885,20.563612662421804,0.4151885995341347,0.4881042997986967,0.6459693495010351
Imperial,2023,167.0,1.0,223.0,1,8626.940327464219,8626.940327464219,11008.195880683,4915.490207670411,6092.70567301259,388.932573666987,173.67007982288092,215.2624938441061,133.70238513513513,0.438656119209761,0.5697837264530213,173.67007982288092,29.43407309982282,22.04255698506911,0.438656119209761,0.44653004551781567,0.5697837264530213
Imperial,2024,159.0,1.0,140.0,1,8304.853275060254,8304.853275060254,7528.118361366174,2874.808013858915,4653.310347507259,276.2927171073666,105.50956815282689,170.78314895453974,118.93104545454547,0.3901937186828919,0.3461600005014005,105.50956815282687,18.080553546282484,20.534342956135106,0.3901937186828919,0.3818760380565012,0.3461600005014005
Kern,2019,175.0,1.0,342.0,1,9432.954811412124,9432.954811412124,13988.618055017558,8293.646103938383,5694.971951079175,452.00373249016627,267.986371504942,184.0173609852243,133.95159152215803,0.43947372546639757,0.8792203789532216,267.9863715049419,47.392263451076474,24.250427204498195,0.43947372546639757,0.5928853065627556,0.8792203789532216
Kern,2020,175.0,1.0,306.0,1,9432.954811412124,9432.954811412124,12703.129413037255,7448.445445932228,5254.6839671050275,410.46670131499604,240.67603601509023,169.7906652999058,128.8813611111111,0.42283911125692625,0.7896195407319233,240.67603601509023,42.562545405327015,24.341324986706628,0.42283911125692625,0.5863472852829373,0.7896195407319233
Kern,2021,175.0,1.0,276.0,1,9432.954811412124,9432.954811412124,11151.14944165737,6270.803495425552,4880.345946231818,360.31873551489554,202.62377416388557,157.69496135100997,130.84060707070708,0.42926708356531185,0.6647761619550052,202.6237741638856,35.83316283100315,22.720302519657796,0.42926708356531185,0.562345929290455,0.6647761619550052
