UniqueID,county,WY,n_cuttings,n_cp_season,et_cum_minET_to_last_cut_mm,cut_match_ratio,gdd5_mean
3912261,San Joaquin,2019,6,7,968.21,0.8571428571428571,3655.2548828125
3912281,San Joaquin,2019,7,7,972.3489999999999,1.0,3820.38623046875
3912410,San Joaquin,2019,6,0,1034.365,,3495.416259765625
3912439,San Joaquin,2019,7,0,1026.8079999999998,,3738.74072265625
3912482,San Joaquin,2019,4,0,743.855,,3451.408935546875
3912485,San Joaquin,2019,8,8,1008.1759999999999,1.0,4086.094970703125
3912583,San Joaquin,2019,9,11,785.51,0.8181818181818182,3927.84912109375
3912622,San Joaquin,2019,6,0,914.7879999999999,,3639.35986328125
3912702,San Joaquin,2019,8,9,1031.965,0.8888888888888888,4035.363037109375
3912751,San Joaquin,2019,5,0,879.847,,3118.56494140625
3912807,San Joaquin,2019,6,0,827.198,,3143.12451171875
3912818,San Joaquin,2019,10,0,913.471,,4354.45654296875
3912899,San Joaquin,2019,5,7,820.79,0.7142857142857143,3396.35498046875
3912966,San Joaquin,2019,4,6,821.673,0.6666666666666666,3287.7890625
3912973,San Joaquin,2019,6,0,968.1329999999999,,3475.583984375
3913175,San Joaquin,2019,4,0,632.726,,2497.31201171875
3913268,San Joaquin,2019,9,9,1082.012,1.0,3959.5556640625
3913285,San Joaquin,2019,8,8,995.32,1.0,4114.83642578125
3913299,San Joaquin,2019,7,7,994.969,1.0,3877.33447265625
3913443,San Joaquin,2019,8,8,1052.254,1.0,4146.890625
3913478,San Joaquin,2019,7,7,937.9250000000001,1.0,3503.3310546875
3913536,San Joaquin,2019,6,0,945.1499999999999,,3398.52880859375
3913552,San Joaquin,2019,8,0,1053.464,,4374.642578125
3913687,San Joaquin,2019,6,0,785.2719999999999,,3864.8349609375
3913720,San Joaquin,2019,7,0,1067.771,,3950.78369140625
3913772,San Joaquin,2019,7,8,1108.7150000000001,0.875,3928.097412109375
3913776,San Joaquin,2019,5,0,1031.483,,3518.68017578125
3913790,San Joaquin,2019,7,0,1017.1809999999999,,3931.285888671875
3913809,San Joaquin,2019,7,7,948.925,1.0,4005.657958984375
3913862,San Joaquin,2019,8,8,1094.1999999999998,1.0,4115.607421875
3913944,San Joaquin,2019,8,8,1067.215,1.0,4112.3759765625
3913962,San Joaquin,2019,8,8,1078.6979999999999,1.0,4022.9599609375
3914030,San Joaquin,2019,6,0,763.5130000000001,,3148.27880859375
3914051,San Joaquin,2019,6,6,919.7349999999999,1.0,3953.104736328125
3914121,San Joaquin,2019,7,7,941.965,1.0,4091.4140625
3914184,San Joaquin,2019,8,0,863.1880000000001,,3952.000732421875
3914240,San Joaquin,2019,5,6,1076.391,0.8333333333333334,4101.4052734375
3914291,San Joaquin,2019,6,0,986.91,,3572.872314453125
3914323,San Joaquin,2019,8,0,959.2250000000001,,4212.73095703125
3914482,San Joaquin,2019,6,0,673.0029999999999,,2994.18017578125
3914501,San Joaquin,2019,8,9,1050.483,0.8888888888888888,4099.6015625
3914521,San Joaquin,2019,9,0,884.0099999999999,,3882.817626953125
3914522,San Joaquin,2019,5,0,850.083,,2965.4287109375
3914523,San Joaquin,2019,7,0,1018.678,,4015.27099609375
3914525,San Joaquin,2019,7,0,1080.489,,4077.436767578125
3914608,San Joaquin,2019,8,11,929.932,0.7272727272727273,4028.7783203125
3914724,San Joaquin,2019,6,0,1098.304,,3878.602294921875
3914763,San Joaquin,2019,6,0,930.973,,3568.8857421875
