county,WY,UniqueID,months_count,harvest_events_n,landsat_clear_passes_n,ET_open_annual_mm,ET_corr_annual_mm,delta_annual_mm,annual_pct_reduction,ET_corr_ci_low_annual_mm,ET_corr_ci_high_annual_mm,annual_ci_width_mm,annual_ci_rel_width_pct_of_corr,method,ci_alpha
San Joaquin,2019,3900819,12,6,13,1037.4189999999999,1015.84398525,21.575014749999994,2.079681859499392,995.6072724999999,1036.1333,40.526027500000055,3.989394837045432,A,0.1
San Joaquin,2019,3900864,12,4,13,1120.4039999999998,1096.8142162499998,23.589783749999995,2.105471218417642,1074.834048,1113.5540879999999,38.720039999999926,3.5302277656815457,A,0.1
San Joaquin,2019,3900924,12,5,13,1237.3419999999999,1234.4365121874998,2.9054878125000414,0.23481687459894207,1233.118234661458,1235.79322875,2.6749940885420074,0.2166975832399633,A,0.1
San Joaquin,2019,3901062,12,6,13,1048.0069999999998,1034.268326,13.738674000000017,1.3109334193378497,930.1710765,1046.616806,116.44572949999997,11.258754287714694,A,0.1
San Joaquin,2019,3901103,12,4,13,1117.5249999999999,1117.5249999999999,0.0,0.0,1117.5249999999999,1117.5249999999999,0.0,0.0,A,0.1
San Joaquin,2019,3901351,12,4,13,1024.866,1024.866,0.0,0.0,1024.866,1024.866,0.0,0.0,A,0.1
San Joaquin,2019,3901200,12,6,13,965.7059999999999,953.514248,12.19175199999998,1.262470358473488,939.1128234999999,962.4605339999999,23.347710500000062,2.4485958703786523,A,0.1
San Joaquin,2019,3901446,12,5,13,910.053,902.44738,7.605619999999988,0.8357337429798032,894.3814900000001,910.053,15.671509999999898,1.7365566510924881,A,0.1
San Joaquin,2019,3901521,12,6,13,1092.6750000000002,1092.6750000000002,0.0,0.0,1092.6750000000002,1092.6750000000002,0.0,0.0,A,0.1
San Joaquin,2019,3901548,12,4,13,1147.476,1145.441506265625,2.034493734375019,0.17730163719110628,1144.8386933072918,1146.234153796094,1.3954604888022004,0.12182730250029863,A,0.1
San Joaquin,2019,3901615,12,5,13,1178.771,1178.771,0.0,0.0,1178.771,1178.771,0.0,0.0,A,0.1
San Joaquin,2019,3901620,12,4,13,1178.178,1178.178,0.0,0.0,1178.178,1178.178,0.0,0.0,A,0.1
San Joaquin,2019,3901622,12,4,13,1114.588,1110.8444,3.7436000000000007,0.3358729862514221,1097.98848075,1114.588,16.599519249999958,1.4943154279753275,A,0.1
San Joaquin,2019,3901624,12,5,13,1161.921,1161.921,0.0,0.0,1161.921,1161.921,0.0,0.0,A,0.1
San Joaquin,2019,3901638,12,6,13,1007.806,1006.029716,1.776284000000004,0.17625257241969228,989.6644645,1006.8961959999999,17.23173149999991,1.7128451800125466,A,0.1
San Joaquin,2019,3901646,12,5,13,1021.775,1013.1475939999998,8.627406000000022,0.8443547747791854,1008.321392,1021.775,13.453608000000031,1.3279020825469219,A,0.1
San Joaquin,2019,3901828,12,7,13,1089.6009999999999,1083.3658199999998,6.235180000000014,0.5722443353117347,1079.604058,1087.317768,7.713709999999992,0.712013417591483,A,0.1
San Joaquin,2019,3901918,12,6,13,1092.0639999999999,1092.03564296875,0.028357031249996112,0.002596645549161598,1092.0271723385417,1092.0465113122395,0.019338973697813344,0.0017709104846833973,A,0.1
San Joaquin,2019,3902004,12,5,13,1130.914,1123.7421795,7.171820499999981,0.634161439331371,1111.23613,1129.547799,18.311668999999938,1.629525823098281,A,0.1
San Joaquin,2019,3902049,12,4,13,1113.861,1111.5574865625001,2.303513437499973,0.2068043891921858,1110.8892227050783,1112.3459948789064,1.4567721738280852,0.1310568451419606,A,0.1
San Joaquin,2019,3902139,12,6,13,1030.26,1030.071932,0.18806800000000123,0.01825442121406259,1016.6196359999999,1030.071932,13.45229600000016,1.30595695136368,A,0.1
San Joaquin,2019,3902146,12,4,13,1097.5710000000001,1097.5710000000001,0.0,0.0,1097.5710000000001,1097.5710000000001,0.0,0.0,A,0.1
San Joaquin,2019,3902191,12,7,13,985.406,978.52173,6.884270000000001,0.6986226996791172,960.9325660000001,980.478312,19.545745999999895,1.9974769492344224,A,0.1
San Joaquin,2019,3902328,12,5,13,960.6410000000001,957.2913679999999,3.3496319999999855,0.3486871786650773,954.4115842624999,960.6410000000001,6.229415737500176,0.6507335118371377,A,0.1
San Joaquin,2019,3902354,12,5,13,1132.212,1132.212,0.0,0.0,1132.212,1132.212,0.0,0.0,A,0.1
San Joaquin,2019,3902388,12,7,13,1146.9660000000001,1065.828777,81.13722300000003,7.074073948137959,977.161713,1146.9660000000001,169.80428700000016,15.931666573870352,A,0.1
San Joaquin,2019,3902454,12,5,13,1026.484,1025.6404380000001,0.8435619999999915,0.08217975146227233,1013.769946,1026.167016,12.397070000000099,1.2087150175332788,A,0.1
San Joaquin,2019,3902628,12,4,13,1125.219,1121.8592465625002,3.359753437499961,0.2985866251369699,1120.90706390625,1122.9204135234377,2.013349617187714,0.1794654385883825,A,0.1
San Joaquin,2019,3902638,12,6,13,1066.79,1066.79,0.0,0.0,1007.19901,1066.79,59.59098999999992,5.58600943015963,A,0.1
San Joaquin,2019,3902687,12,4,13,1089.835,1089.835,0.0,0.0,1089.835,1089.835,0.0,0.0,A,0.1
San Joaquin,2019,3902712,12,4,13,1172.201,1172.201,0.0,0.0,1172.201,1172.201,0.0,0.0,A,0.1
San Joaquin,2019,3902820,12,5,13,1170.016,1157.0021120000001,13.013888000000009,1.1122829089516733,1134.3832118750001,1167.575896,33.192684124999914,2.868852509493078,A,0.1
San Joaquin,2019,3902892,12,6,13,952.7149999999999,928.319068,24.395931999999988,2.5606747033477997,914.0053859999999,947.3871115,33.381725500000016,3.5959323308869076,A,0.1
San Joaquin,2019,3902898,12,4,13,1037.622,1025.15985025,12.462149750000009,1.2010298307090643,1021.9616964999999,1026.465244,4.5035475000000815,0.439301978018533,A,0.1
San Joaquin,2019,3902920,12,5,13,1054.394,999.6065440000001,54.787456000000034,5.19610847557934,947.104865,1021.6502635,74.54539850000003,7.457474037905061,A,0.1
San Joaquin,2019,3902927,12,6,13,862.653,852.693072,9.95992799999999,1.1545694502888173,843.347026,857.05495625,13.707930250000004,1.607604271704462,A,0.1
San Joaquin,2019,3902955,12,6,13,840.8720000000001,840.8720000000001,0.0,0.0,840.8720000000001,840.8720000000001,0.0,0.0,A,0.1
San Joaquin,2019,3902966,12,4,13,1173.362,1169.1490880000001,4.212911999999989,0.35904622784784135,1151.87643,1169.1490880000001,17.272658000000092,1.477370010145369,A,0.1
San Joaquin,2019,3903011,12,3,13,1045.49,1017.17085,28.319150000000008,2.7086964007307586,1013.9680629999999,1044.1218,30.15373699999998,2.964471209531809,A,0.1
San Joaquin,2019,3902971,12,5,13,1200.291,1200.291,0.0,0.0,1200.291,1200.291,0.0,0.0,A,0.1
San Joaquin,2019,3903027,12,7,13,831.593,821.4753500000002,10.117650000000012,1.2166588703849133,790.5589221874999,826.7266379375001,36.167715750000184,4.4027755367218475,A,0.1
San Joaquin,2019,3903046,12,1,13,801.1569999999999,800.661195625,0.49580437499999874,0.06188604418359932,800.514290625,800.82646375,0.3121731250000721,0.03898941608583743,A,0.1
San Joaquin,2019,3903036,12,5,13,1159.841,1156.970584375,2.870415625000007,0.24748354515834559,1156.1207962239582,1158.0164839973959,1.8956877734376576,0.16384926281092232,A,0.1
San Joaquin,2019,3903053,12,5,13,1091.169,1084.7536096992187,6.415390300781269,0.5879373681603187,1082.9366495570314,1087.0533769279948,4.116727370963417,0.3795080591716037,A,0.1
San Joaquin,2019,3903055,12,4,13,1098.888,1093.77049425,5.1175057500000065,0.46569857437700724,1092.3198704375,1095.3791539760418,3.0592835385418766,0.2797006826043184,A,0.1
San Joaquin,2019,3903124,12,4,13,1036.826,1033.757597796875,3.068402203125018,0.29594186518519194,1032.8495601666668,1034.7931607598957,1.9436005932288936,0.18801318581561666,A,0.1
